organization,year,pubs,trailingpubs,rank,rank_unique
"Aberdeen, University of",2003,0,0,193,384
"Aberdeen, University of",2004,0,0,205,462
"Aberdeen, University of",2005,0,0,209,579
"Aberdeen, University of",2006,0,0,211,657
"Aberdeen, University of",2007,0,0,224,413
"Aberdeen, University of",2008,0,0,253,564
"Aberdeen, University of",2009,0,0,288,451
"Aberdeen, University of",2010,0,0,299,609
"Aberdeen, University of",2011,0,0,302,615
"Aberdeen, University of",2012,0,0,295,344
"Aberdeen, University of",2013,0,0,302,347
"Aberdeen, University of",2014,0,0,298,576
"Aberdeen, University of",2015,1,1,190,254
"Aberdeen, University of",2016,0,1,199,248
"Aberdeen, University of",2017,0,1,215,340
"Aberdeen, University of",2018,0,0,360,538
"Adelaide, University of",1990,0,0,99,377
"Adelaide, University of",1991,0,0,141,526
"Adelaide, University of",1992,0,0,165,490
"Adelaide, University of",1993,0,0,159,611
"Adelaide, University of",1994,0,0,164,394
"Adelaide, University of",1995,0,0,164,305
"Adelaide, University of",1996,0,0,171,544
"Adelaide, University of",1997,0,0,180,359
"Adelaide, University of",1998,0,0,194,273
"Adelaide, University of",1999,0,0,202,451
"Adelaide, University of",2000,0,0,203,424
"Adelaide, University of",2001,0,0,191,602
"Adelaide, University of",2002,0,0,187,438
"Adelaide, University of",2003,0,0,193,553
"Adelaide, University of",2004,0,0,205,514
"Adelaide, University of",2005,0,0,209,537
"Adelaide, University of",2006,0,0,211,551
"Adelaide, University of",2007,0,0,224,630
"Adelaide, University of",2008,0,0,253,575
"Adelaide, University of",2009,0,0,288,560
"Adelaide, University of",2010,0,0,299,405
"Adelaide, University of",2011,0,0,302,415
"Adelaide, University of",2012,0,0,295,339
"Adelaide, University of",2013,0,0,302,624
"Adelaide, University of",2014,0,0,298,502
"Adelaide, University of",2015,1,1,190,252
"Adelaide, University of",2016,0,1,199,217
"Adelaide, University of",2017,0,1,215,276
"Adelaide, University of",2018,1,1,217,284
"Ajou University",1990,0,0,99,196
"Ajou University",1991,0,0,141,643
"Ajou University",1992,0,0,165,527
"Ajou University",1993,0,0,159,311
"Ajou University",1994,0,0,164,560
"Ajou University",1995,0,0,164,279
"Ajou University",1996,0,0,171,224
"Ajou University",1997,0,0,180,184
"Ajou University",1998,0,0,194,451
"Ajou University",1999,0,0,202,274
"Ajou University",2000,0,0,203,437
"Ajou University",2001,0,0,191,612
"Ajou University",2002,0,0,187,371
"Ajou University",2003,0,0,193,472
"Ajou University",2004,0,0,205,565
"Ajou University",2005,0,0,209,643
"Ajou University",2006,0,0,211,324
"Ajou University",2007,1,1,134,219
"Ajou University",2008,0,1,149,150
"Ajou University",2009,0,1,169,203
"Ajou University",2010,0,0,299,553
"Ajou University",2011,0,0,302,570
"Ajou University",2012,0,0,295,503
"Ajou University",2013,0,0,302,541
"Ajou University",2014,0,0,298,603
"Ajou University",2015,0,0,306,594
"Ajou University",2016,0,0,325,594
"Ajou University",2017,0,0,344,415
"Ajou University",2018,0,0,360,605
"Alabama, University of - Birmingham",1990,0,0,99,582
"Alabama, University of - Birmingham",1991,0,0,141,443
"Alabama, University of - Birmingham",1992,0,0,165,375
"Alabama, University of - Birmingham",1993,0,0,159,378
"Alabama, University of - Birmingham",1994,0,0,164,207
"Alabama, University of - Birmingham",1995,0,0,164,431
"Alabama, University of - Birmingham",1996,1,1,87,148
"Alabama, University of - Birmingham",1997,0,1,100,119
"Alabama, University of - Birmingham",1998,0,1,108,158
"Alabama, University of - Birmingham",1999,0,0,202,398
"Alabama, University of - Birmingham",2000,0,0,203,451
"Alabama, University of - Birmingham",2001,0,0,191,540
"Alabama, University of - Birmingham",2002,1,1,113,182
"Alabama, University of - Birmingham",2003,0,1,115,162
"Alabama, University of - Birmingham",2004,0,1,122,141
"Alabama, University of - Birmingham",2005,0,0,209,320
"Alabama, University of - Birmingham",2006,0,0,211,309
"Alabama, University of - Birmingham",2007,0,0,224,432
"Alabama, University of - Birmingham",2008,0,0,253,546
"Alabama, University of - Birmingham",2009,0,0,288,642
"Alabama, University of - Birmingham",2010,0,0,299,507
"Alabama, University of - Birmingham",2011,0,0,302,523
"Alabama, University of - Birmingham",2012,0,0,295,326
"Alabama, University of - Birmingham",2013,0,0,302,504
"Alabama, University of - Birmingham",2014,0,0,298,394
"Alabama, University of - Birmingham",2015,0,0,306,604
"Alabama, University of - Birmingham",2016,0,0,325,657
"Alabama, University of - Birmingham",2017,0,0,344,427
"Alabama, University of - Birmingham",2018,0,0,360,388
"Alabama, University of - Tuscaloosa",1990,1,1,40,97
"Alabama, University of - Tuscaloosa",1991,0,1,65,83
"Alabama, University of - Tuscaloosa",1992,0,1,88,147
"Alabama, University of - Tuscaloosa",1993,1,1,81,87
"Alabama, University of - Tuscaloosa",1994,0,1,84,145
"Alabama, University of - Tuscaloosa",1995,0,1,87,132
"Alabama, University of - Tuscaloosa",1996,0,0,171,384
"Alabama, University of - Tuscaloosa",1997,0,0,180,198
"Alabama, University of - Tuscaloosa",1998,1,1,108,160
"Alabama, University of - Tuscaloosa",1999,0,1,111,161
"Alabama, University of - Tuscaloosa",2000,0,1,103,131
"Alabama, University of - Tuscaloosa",2001,0,0,191,360
"Alabama, University of - Tuscaloosa",2002,0,0,187,571
"Alabama, University of - Tuscaloosa",2003,2,2,88,113
"Alabama, University of - Tuscaloosa",2004,1,3,76,80
"Alabama, University of - Tuscaloosa",2005,0,3,86,93
"Alabama, University of - Tuscaloosa",2006,1,2,97,101
"Alabama, University of - Tuscaloosa",2007,0,1,134,181
"Alabama, University of - Tuscaloosa",2008,0,1,149,215
"Alabama, University of - Tuscaloosa",2009,0,0,288,303
"Alabama, University of - Tuscaloosa",2010,0,0,299,430
"Alabama, University of - Tuscaloosa",2011,1,1,183,198
"Alabama, University of - Tuscaloosa",2012,0,1,183,286
"Alabama, University of - Tuscaloosa",2013,1,2,144,170
"Alabama, University of - Tuscaloosa",2014,2,3,122,136
"Alabama, University of - Tuscaloosa",2015,2,5,94,103
"Alabama, University of - Tuscaloosa",2016,0,4,106,120
"Alabama, University of - Tuscaloosa",2017,0,2,162,172
"Alabama, University of - Tuscaloosa",2018,1,1,217,221
"Alberta, University of (Canada)",1990,1,1,40,61
"Alberta, University of (Canada)",1991,0,1,65,96
"Alberta, University of (Canada)",1992,0,1,88,96
"Alberta, University of (Canada)",1993,0,0,159,627
"Alberta, University of (Canada)",1994,0,0,164,228
"Alberta, University of (Canada)",1995,0,0,164,298
"Alberta, University of (Canada)",1996,1,1,87,138
"Alberta, University of (Canada)",1997,1,2,67,81
"Alberta, University of (Canada)",1998,0,2,65,71
"Alberta, University of (Canada)",1999,3,4,52,65
"Alberta, University of (Canada)",2000,3,6,41,42
"Alberta, University of (Canada)",2001,1,7,34,35
"Alberta, University of (Canada)",2002,0,4,54,57
"Alberta, University of (Canada)",2003,2,3,72,79
"Alberta, University of (Canada)",2004,3,5,64,65
"Alberta, University of (Canada)",2005,0,5,60,66
"Alberta, University of (Canada)",2006,0,3,79,88
"Alberta, University of (Canada)",2007,0,0,224,615
"Alberta, University of (Canada)",2008,4,4,76,90
"Alberta, University of (Canada)",2009,2,6,64,69
"Alberta, University of (Canada)",2010,1,7,63,67
"Alberta, University of (Canada)",2011,2,5,89,98
"Alberta, University of (Canada)",2012,2,5,88,90
"Alberta, University of (Canada)",2013,2,6,79,89
"Alberta, University of (Canada)",2014,2,6,80,86
"Alberta, University of (Canada)",2015,2,6,78,81
"Alberta, University of (Canada)",2016,1,5,91,99
"Alberta, University of (Canada)",2017,1,4,109,126
"Alberta, University of (Canada)",2018,1,3,138,143
"Allianz Global Investors",1990,0,0,99,493
"Allianz Global Investors",1991,0,0,141,316
"Allianz Global Investors",1992,0,0,165,364
"Allianz Global Investors",1993,0,0,159,336
"Allianz Global Investors",1994,0,0,164,542
"Allianz Global Investors",1995,0,0,164,339
"Allianz Global Investors",1996,0,0,171,507
"Allianz Global Investors",1997,0,0,180,397
"Allianz Global Investors",1998,0,0,194,249
"Allianz Global Investors",1999,0,0,202,411
"Allianz Global Investors",2000,0,0,203,296
"Allianz Global Investors",2001,0,0,191,318
"Allianz Global Investors",2002,0,0,187,470
"Allianz Global Investors",2003,0,0,193,458
"Allianz Global Investors",2004,0,0,205,418
"Allianz Global Investors",2005,0,0,209,359
"Allianz Global Investors",2006,0,0,211,502
"Allianz Global Investors",2007,0,0,224,288
"Allianz Global Investors",2008,0,0,253,299
"Allianz Global Investors",2009,0,0,288,575
"Allianz Global Investors",2010,0,0,299,404
"Allianz Global Investors",2011,0,0,302,479
"Allianz Global Investors",2012,0,0,295,481
"Allianz Global Investors",2013,1,1,188,294
"Allianz Global Investors",2014,0,1,182,279
"Allianz Global Investors",2015,0,1,190,193
"Allianz Global Investors",2016,0,0,325,526
"Allianz Global Investors",2017,0,0,344,528
"Allianz Global Investors",2018,0,0,360,490
"American University",1990,0,0,99,347
"American University",1991,1,1,65,101
"American University",1992,0,1,88,116
"American University",1993,0,1,81,125
"American University",1994,0,0,164,493
"American University",1995,0,0,164,463
"American University",1996,0,0,171,289
"American University",1997,0,0,180,493
"American University",1998,0,0,194,473
"American University",1999,0,0,202,611
"American University",2000,0,0,203,456
"American University",2001,0,0,191,556
"American University",2002,0,0,187,561
"American University",2003,3,3,72,75
"American University",2004,1,4,69,73
"American University",2005,0,4,68,76
"American University",2006,1,2,97,116
"American University",2007,1,2,106,113
"American University",2008,2,4,76,85
"American University",2009,2,5,74,80
"American University",2010,1,5,80,88
"American University",2011,0,3,118,118
"American University",2012,1,2,142,178
"American University",2013,1,2,144,162
"American University",2014,0,2,137,176
"American University",2015,0,1,190,216
"American University",2016,1,1,199,307
"American University",2017,1,2,162,205
"American University",2018,1,3,138,167
"American University in Dubai",1990,0,0,99,570
"American University in Dubai",1991,0,0,141,372
"American University in Dubai",1992,0,0,165,271
"American University in Dubai",1993,0,0,159,444
"American University in Dubai",1994,0,0,164,510
"American University in Dubai",1995,0,0,164,510
"American University in Dubai",1996,0,0,171,222
"American University in Dubai",1997,0,0,180,581
"American University in Dubai",1998,0,0,194,630
"American University in Dubai",1999,0,0,202,575
"American University in Dubai",2000,0,0,203,649
"American University in Dubai",2001,0,0,191,298
"American University in Dubai",2002,0,0,187,283
"American University in Dubai",2003,0,0,193,647
"American University in Dubai",2004,1,1,122,167
"American University in Dubai",2005,0,1,133,203
"American University in Dubai",2006,0,1,130,158
"American University in Dubai",2007,0,0,224,571
"American University in Dubai",2008,0,0,253,293
"American University in Dubai",2009,0,0,288,416
"American University in Dubai",2010,1,1,178,242
"American University in Dubai",2011,0,1,183,222
"American University in Dubai",2012,0,1,183,236
"American University in Dubai",2013,0,0,302,302
"American University in Dubai",2014,0,0,298,299
"American University in Dubai",2015,0,0,306,521
"American University in Dubai",2016,0,0,325,635
"American University in Dubai",2017,0,0,344,368
"American University in Dubai",2018,0,0,360,602
"American University of Beirut",1990,0,0,99,346
"American University of Beirut",1991,0,0,141,325
"American University of Beirut",1992,0,0,165,470
"American University of Beirut",1993,0,0,159,540
"American University of Beirut",1994,0,0,164,513
"American University of Beirut",1995,0,0,164,359
"American University of Beirut",1996,0,0,171,492
"American University of Beirut",1997,0,0,180,181
"American University of Beirut",1998,0,0,194,586
"American University of Beirut",1999,0,0,202,347
"American University of Beirut",2000,0,0,203,626
"American University of Beirut",2001,0,0,191,203
"American University of Beirut",2002,0,0,187,424
"American University of Beirut",2003,0,0,193,196
"American University of Beirut",2004,1,1,122,138
"American University of Beirut",2005,0,1,133,169
"American University of Beirut",2006,0,1,130,189
"American University of Beirut",2007,0,0,224,424
"American University of Beirut",2008,0,0,253,576
"American University of Beirut",2009,0,0,288,382
"American University of Beirut",2010,0,0,299,529
"American University of Beirut",2011,0,0,302,412
"American University of Beirut",2012,0,0,295,450
"American University of Beirut",2013,0,0,302,341
"American University of Beirut",2014,0,0,298,352
"American University of Beirut",2015,0,0,306,628
"American University of Beirut",2016,0,0,325,401
"American University of Beirut",2017,0,0,344,388
"American University of Beirut",2018,0,0,360,502
"American University of Bulgaria",1990,0,0,99,231
"American University of Bulgaria",1991,0,0,141,520
"American University of Bulgaria",1992,0,0,165,574
"American University of Bulgaria",1993,0,0,159,479
"American University of Bulgaria",1994,0,0,164,509
"American University of Bulgaria",1995,0,0,164,627
"American University of Bulgaria",1996,0,0,171,187
"American University of Bulgaria",1997,0,0,180,256
"American University of Bulgaria",1998,0,0,194,504
"American University of Bulgaria",1999,0,0,202,207
"American University of Bulgaria",2000,0,0,203,376
"American University of Bulgaria",2001,0,0,191,274
"American University of Bulgaria",2002,0,0,187,303
"American University of Bulgaria",2003,0,0,193,642
"American University of Bulgaria",2004,0,0,205,628
"American University of Bulgaria",2005,0,0,209,260
"American University of Bulgaria",2006,0,0,211,500
"American University of Bulgaria",2007,0,0,224,642
"American University of Bulgaria",2008,1,1,149,216
"American University of Bulgaria",2009,0,1,169,174
"American University of Bulgaria",2010,0,1,178,190
"American University of Bulgaria",2011,0,0,302,402
"American University of Bulgaria",2012,0,0,295,646
"American University of Bulgaria",2013,0,0,302,430
"American University of Bulgaria",2014,0,0,298,614
"American University of Bulgaria",2015,0,0,306,563
"American University of Bulgaria",2016,0,0,325,358
"American University of Bulgaria",2017,0,0,344,439
"American University of Bulgaria",2018,0,0,360,598
"American University of Sharjah",1990,0,0,99,369
"American University of Sharjah",1991,0,0,141,341
"American University of Sharjah",1992,0,0,165,620
"American University of Sharjah",1993,0,0,159,210
"American University of Sharjah",1994,0,0,164,243
"American University of Sharjah",1995,0,0,164,651
"American University of Sharjah",1996,0,0,171,179
"American University of Sharjah",1997,0,0,180,252
"American University of Sharjah",1998,0,0,194,305
"American University of Sharjah",1999,0,0,202,561
"American University of Sharjah",2000,0,0,203,591
"American University of Sharjah",2001,0,0,191,390
"American University of Sharjah",2002,0,0,187,478
"American University of Sharjah",2003,0,0,193,310
"American University of Sharjah",2004,0,0,205,413
"American University of Sharjah",2005,0,0,209,506
"American University of Sharjah",2006,0,0,211,223
"American University of Sharjah",2007,0,0,224,496
"American University of Sharjah",2008,1,1,149,166
"American University of Sharjah",2009,0,1,169,274
"American University of Sharjah",2010,0,1,178,259
"American University of Sharjah",2011,0,0,302,377
"American University of Sharjah",2012,0,0,295,574
"American University of Sharjah",2013,1,1,188,227
"American University of Sharjah",2014,0,1,182,226
"American University of Sharjah",2015,0,1,190,266
"American University of Sharjah",2016,0,0,325,405
"American University of Sharjah",2017,1,1,215,327
"American University of Sharjah",2018,1,2,168,172
"Amsterdam, U. of (Netherlands)",1990,0,0,99,274
"Amsterdam, U. of (Netherlands)",1991,0,0,141,426
"Amsterdam, U. of (Netherlands)",1992,0,0,165,250
"Amsterdam, U. of (Netherlands)",1993,1,1,81,116
"Amsterdam, U. of (Netherlands)",1994,1,2,59,83
"Amsterdam, U. of (Netherlands)",1995,0,2,57,63
"Amsterdam, U. of (Netherlands)",1996,0,1,87,103
"Amsterdam, U. of (Netherlands)",1997,2,2,67,97
"Amsterdam, U. of (Netherlands)",1998,0,2,65,66
"Amsterdam, U. of (Netherlands)",1999,0,2,78,80
"Amsterdam, U. of (Netherlands)",2000,1,1,103,147
"Amsterdam, U. of (Netherlands)",2001,1,2,81,102
"Amsterdam, U. of (Netherlands)",2002,1,3,63,63
"Amsterdam, U. of (Netherlands)",2003,1,3,72,72
"Amsterdam, U. of (Netherlands)",2004,0,2,90,99
"Amsterdam, U. of (Netherlands)",2005,3,4,68,79
"Amsterdam, U. of (Netherlands)",2006,3,6,45,51
"Amsterdam, U. of (Netherlands)",2007,1,7,42,47
"Amsterdam, U. of (Netherlands)",2008,2,6,59,67
"Amsterdam, U. of (Netherlands)",2009,2,5,74,85
"Amsterdam, U. of (Netherlands)",2010,2,6,71,78
"Amsterdam, U. of (Netherlands)",2011,4,8,62,69
"Amsterdam, U. of (Netherlands)",2012,1,7,70,79
"Amsterdam, U. of (Netherlands)",2013,1,6,79,87
"Amsterdam, U. of (Netherlands)",2014,2,4,106,121
"Amsterdam, U. of (Netherlands)",2015,2,5,94,106
"Amsterdam, U. of (Netherlands)",2016,1,5,91,102
"Amsterdam, U. of (Netherlands)",2017,0,3,128,146
"Amsterdam, U. of (Netherlands)",2018,3,4,114,135
"Appalachian State University",1990,0,0,99,285
"Appalachian State University",1991,0,0,141,333
"Appalachian State University",1992,0,0,165,584
"Appalachian State University",1993,0,0,159,573
"Appalachian State University",1994,1,1,84,152
"Appalachian State University",1995,0,1,87,158
"Appalachian State University",1996,0,1,87,128
"Appalachian State University",1997,0,0,180,248
"Appalachian State University",1998,0,0,194,346
"Appalachian State University",1999,0,0,202,387
"Appalachian State University",2000,0,0,203,547
"Appalachian State University",2001,0,0,191,378
"Appalachian State University",2002,0,0,187,271
"Appalachian State University",2003,0,0,193,423
"Appalachian State University",2004,0,0,205,322
"Appalachian State University",2005,0,0,209,325
"Appalachian State University",2006,0,0,211,630
"Appalachian State University",2007,0,0,224,380
"Appalachian State University",2008,0,0,253,276
"Appalachian State University",2009,0,0,288,488
"Appalachian State University",2010,0,0,299,354
"Appalachian State University",2011,0,0,302,526
"Appalachian State University",2012,0,0,295,529
"Appalachian State University",2013,0,0,302,489
"Appalachian State University",2014,0,0,298,452
"Appalachian State University",2015,0,0,306,606
"Appalachian State University",2016,0,0,325,484
"Appalachian State University",2017,0,0,344,399
"Appalachian State University",2018,0,0,360,482
"Applied Sciences Northwestern Switzerland, University of",1990,0,0,99,177
"Applied Sciences Northwestern Switzerland, University of",1991,0,0,141,458
"Applied Sciences Northwestern Switzerland, University of",1992,0,0,165,265
"Applied Sciences Northwestern Switzerland, University of",1993,0,0,159,451
"Applied Sciences Northwestern Switzerland, University of",1994,0,0,164,387
"Applied Sciences Northwestern Switzerland, University of",1995,0,0,164,342
"Applied Sciences Northwestern Switzerland, University of",1996,0,0,171,639
"Applied Sciences Northwestern Switzerland, University of",1997,0,0,180,257
"Applied Sciences Northwestern Switzerland, University of",1998,0,0,194,483
"Applied Sciences Northwestern Switzerland, University of",1999,0,0,202,506
"Applied Sciences Northwestern Switzerland, University of",2000,0,0,203,274
"Applied Sciences Northwestern Switzerland, University of",2001,0,0,191,195
"Applied Sciences Northwestern Switzerland, University of",2002,0,0,187,491
"Applied Sciences Northwestern Switzerland, University of",2003,0,0,193,624
"Applied Sciences Northwestern Switzerland, University of",2004,0,0,205,511
"Applied Sciences Northwestern Switzerland, University of",2005,0,0,209,459
"Applied Sciences Northwestern Switzerland, University of",2006,0,0,211,533
"Applied Sciences Northwestern Switzerland, University of",2007,0,0,224,618
"Applied Sciences Northwestern Switzerland, University of",2008,0,0,253,406
"Applied Sciences Northwestern Switzerland, University of",2009,0,0,288,334
"Applied Sciences Northwestern Switzerland, University of",2010,0,0,299,473
"Applied Sciences Northwestern Switzerland, University of",2011,0,0,302,552
"Applied Sciences Northwestern Switzerland, University of",2012,0,0,295,547
"Applied Sciences Northwestern Switzerland, University of",2013,0,0,302,612
"Applied Sciences Northwestern Switzerland, University of",2014,0,0,298,539
"Applied Sciences Northwestern Switzerland, University of",2015,0,0,306,398
"Applied Sciences Northwestern Switzerland, University of",2016,0,0,325,393
"Applied Sciences Northwestern Switzerland, University of",2017,0,0,344,529
"Applied Sciences Northwestern Switzerland, University of",2018,1,1,217,321
"Arison School of Business",1990,0,0,99,126
"Arison School of Business",1991,0,0,141,224
"Arison School of Business",1992,0,0,165,399
"Arison School of Business",1993,0,0,159,167
"Arison School of Business",1994,0,0,164,285
"Arison School of Business",1995,0,0,164,553
"Arison School of Business",1996,0,0,171,402
"Arison School of Business",1997,0,0,180,212
"Arison School of Business",1998,0,0,194,476
"Arison School of Business",1999,0,0,202,623
"Arison School of Business",2000,0,0,203,213
"Arison School of Business",2001,0,0,191,354
"Arison School of Business",2002,0,0,187,631
"Arison School of Business",2003,0,0,193,597
"Arison School of Business",2004,0,0,205,594
"Arison School of Business",2005,0,0,209,497
"Arison School of Business",2006,0,0,211,604
"Arison School of Business",2007,2,2,106,131
"Arison School of Business",2008,0,2,115,147
"Arison School of Business",2009,0,2,119,155
"Arison School of Business",2010,0,0,299,441
"Arison School of Business",2011,0,0,302,454
"Arison School of Business",2012,0,0,295,352
"Arison School of Business",2013,0,0,302,332
"Arison School of Business",2014,0,0,298,568
"Arison School of Business",2015,0,0,306,632
"Arison School of Business",2016,0,0,325,441
"Arison School of Business",2017,0,0,344,632
"Arison School of Business",2018,0,0,360,402
"Arizona State University",1990,2,2,28,35
"Arizona State University",1991,4,6,20,23
"Arizona State University",1992,7,13,14,17
"Arizona State University",1993,6,17,8,8
"Arizona State University",1994,2,15,10,10
"Arizona State University",1995,2,10,17,19
"Arizona State University",1996,3,7,25,25
"Arizona State University",1997,4,9,21,23
"Arizona State University",1998,4,11,15,15
"Arizona State University",1999,2,10,20,20
"Arizona State University",2000,3,9,24,26
"Arizona State University",2001,4,9,26,27
"Arizona State University",2002,6,13,16,16
"Arizona State University",2003,2,12,17,17
"Arizona State University",2004,1,9,29,35
"Arizona State University",2005,4,7,43,46
"Arizona State University",2006,3,8,33,34
"Arizona State University",2007,3,10,28,31
"Arizona State University",2008,5,11,34,38
"Arizona State University",2009,5,13,34,35
"Arizona State University",2010,4,14,33,33
"Arizona State University",2011,3,12,37,37
"Arizona State University",2012,6,13,33,33
"Arizona State University",2013,7,16,30,30
"Arizona State University",2014,5,18,25,27
"Arizona State University",2015,3,15,32,34
"Arizona State University",2016,4,12,43,43
"Arizona State University",2017,2,9,57,58
"Arizona State University",2018,5,11,49,49
"Arizona, University of",1990,0,0,99,409
"Arizona, University of",1991,1,1,65,102
"Arizona, University of",1992,0,1,88,119
"Arizona, University of",1993,0,1,81,151
"Arizona, University of",1994,0,0,164,279
"Arizona, University of",1995,2,2,57,58
"Arizona, University of",1996,2,4,41,43
"Arizona, University of",1997,2,6,33,34
"Arizona, University of",1998,3,7,32,35
"Arizona, University of",1999,1,6,38,45
"Arizona, University of",2000,1,5,45,49
"Arizona, University of",2001,3,5,46,54
"Arizona, University of",2002,2,6,40,47
"Arizona, University of",2003,3,8,37,38
"Arizona, University of",2004,2,7,47,49
"Arizona, University of",2005,1,6,51,52
"Arizona, University of",2006,3,6,45,47
"Arizona, University of",2007,2,6,55,56
"Arizona, University of",2008,3,8,48,49
"Arizona, University of",2009,5,10,46,52
"Arizona, University of",2010,1,9,49,50
"Arizona, University of",2011,1,7,70,73
"Arizona, University of",2012,2,4,101,115
"Arizona, University of",2013,2,5,92,93
"Arizona, University of",2014,2,6,80,85
"Arizona, University of",2015,0,4,110,115
"Arizona, University of",2016,1,3,125,139
"Arizona, University of",2017,5,6,83,90
"Arizona, University of",2018,2,8,70,70
"Arizona, University of (2)",1990,0,0,99,332
"Arizona, University of (2)",1991,0,0,141,497
"Arizona, University of (2)",1992,0,0,165,217
"Arizona, University of (2)",1993,0,0,159,229
"Arizona, University of (2)",1994,0,0,164,657
"Arizona, University of (2)",1995,0,0,164,226
"Arizona, University of (2)",1996,0,0,171,405
"Arizona, University of (2)",1997,0,0,180,515
"Arizona, University of (2)",1998,0,0,194,423
"Arizona, University of (2)",1999,0,0,202,658
"Arizona, University of (2)",2000,0,0,203,500
"Arizona, University of (2)",2001,0,0,191,555
"Arizona, University of (2)",2002,0,0,187,237
"Arizona, University of (2)",2003,0,0,193,513
"Arizona, University of (2)",2004,0,0,205,485
"Arizona, University of (2)",2005,0,0,209,637
"Arizona, University of (2)",2006,0,0,211,437
"Arizona, University of (2)",2007,0,0,224,600
"Arizona, University of (2)",2008,0,0,253,521
"Arizona, University of (2)",2009,0,0,288,448
"Arizona, University of (2)",2010,0,0,299,406
